KEY	영어	한국어	중국어(간체)
PopEditCloud:alertAuthenticationError	The password does not match. Please enter it again.	비밀번호가 일치하지 않습니다.\n 다시 시도해 주세요.	密码不一致！请重试。
PopEditCloud:alertWebDAVAuthError	The password does not match. Please enter it again.	비밀번호가 일치하지 않습니다.\n 다시 시도해 주세요.	密码不一致！请重试。
PopEditCloud:alertNetworkError	Please check your network status,\nand then try it again.	네트워크 확인 후 다시 시도해 주세요.	请确认网络状态后重试。
PopEditCloud:alertNotAddress	Incorrect server address.	잘못된 서버주소입니다.	服务器地址错误！
PopEditCloud:alertNotFindAddress	Unable to find a server with the specified host name.	지정된 호스트 이름을 포함하는 \n서버를 찾을 수 없습니다.	无法找到包含指定主机名的服务器！
PopEditCloud:alertNetworkDisconnected	You are not connected to a network. \n Please connect to a network or Wi-Fi first.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	网络连接已断开！\n请在连接蜂窝移动数据或 Wi-Fi 后使用。
PopEditCloud:Error_AIRPLANE	To access the data,\nplease turn off Airplane mode.	데이터에 접근하려면, \n에어플레인 모드를 해제해 주세요.	如需访问网络数据，请关闭飞行模式。
			
PopMore:Save	Save	저장	保存
PopMore:SaveAs	Save As	다른 이름으로 저장	另存为
PopMore:Arrange	Rearrange Text	텍스트 재정렬	重排文本
PopMore:Find	Find	찾기	查找
PopMore:Memo	Show comments	메모 표시	显示批注
PopMore:Capture	Clip Document	문서 클리핑	文件剪裁
PopMore:Share	Share Document	문서 공유	共享文件
PopMore:Spell	Spelling Check	맞춤법 검사	拼写检查
PopMore:Toc	View Table of Contents	목차 보기	查看目录
PopMore:Remark	Show Annotations	주석 표기	显示注释
PopMore:RemarkList	Show Annotation List	주석 목록 보기	查看注释目录
PopMore:Replace	Find/Replace	찾기/바꾸기	查找/替换
PopMore:Layout	Page Layout	페이지 레이아웃	页面布局
PopMore:Recalc	Recalculate	재계산	重新计算
PopMore:Sort	Sort	정렬	排序
PopMore:slideNote	Slide Note	슬라이드 노트	幻灯片备注
PopMore:Filter	Filters	필터	筛选
PopMore:SmartGuide	Show Smart Guideline	스마트 안내선 표시	显示智能向导线
PopMore:FreezeFrame	Pin Frame	틀 고정	冻结
PopMore:UnfreezeFrame	Unpin Frame	틀 고정 해제	取消冻结
PopMore:EditMode	Switch to Edit Mode	편집 모드 전환	转到编辑模式
PopMore:ViewMode	Switch to Review Mode	검토 모드 전환	转到审阅模式
PopMore:Ruler	Ruler	눈금자	标尺
PopMore:SinglePage	View Each Page	페이지별 보기	单页视图
PopMore:Print	Print	인쇄	打印
PopMore:OpenIn	Open In	다음에서 열기... 	在其他应用中打开……
PopMore:linkcopy	Copy Link	링크 복사	复制链接
PopMore:SendFile	Send File	파일 보내기	发送文件
PopMore:ShareDoc	Share	공유	共享
PopMore:Link	Link	링크	链接
PopMore:AutoSave	Auto Recovery	자동 복구	自动恢复
			
PopTaskLog:logSection	Log	로그	日志
PopTaskLog:textFieldBase	Enter text.	텍스트를 입력해 주세요.	请输入文本
PopTaskLog:textFieldOffline	Please connect to a network first.	네트워크 연결 후 사용해 주세요.	请先连接网络后再使用
PopTaskLog:maxLength	Character limit has been exceeded.	제한된 글자수를 초과하였습니다.	已超过限制的字符数！
PopTaskLog:NetworkError	The network is busy.	네트워크 상태가 원활하지 않습니다.	网络状态不稳定！
			
PopSlideShow:btnFromFirst	From Beginning	처음부터	重头开始
PopSlideShow:btnFromCurrent	From Current Slide	현재 슬라이드부터	重当前幻灯片开始
			
PopBack:btnSave	Save	저장	保存
PopBack:btnSaveAs	Save As	다른 이름으로 저장	另存为
PopBack:btnCancel	Do Not Save	저장하지 않음	不保存
PopBack:btnCancel1	Cancel	취소	取消
PopBack:lblInk1	Do you want to retain the pen annotations	잉크 주석을 유지하여	保留墨迹注释
PopBack:lblInk2	and save?	저장하시겠습니까?	要保存吗？
			
PopSend:lblTitle	Send	보내기	发送
PopSend:FileSend	Send Document	문서 보내기	发送文件
PopSend:SendLink	Send Download Link	이메일로 링크 보내기	通过电子邮件发送链接
PopSend:Print	Print	인쇄	打印
PopSend:OpenIn	Open in the Following...?	다음에서 열기...	在其他应用中打开……
			
PopSortList:btnName	Name	이름순	名称
PopSortList:btnDate	Date	날짜순	日期
PopSortList:btnType	Type	형식순	类型
			
PopShareSort:btnGroup	Group	그룹순	组合
PopShareSort:btnDate	Date	날짜순	日期
			
PopSortServiceList:item_date	Date	날짜순	日期
PopSortServiceList:item_type	Type	형식순	类型
			
PopPDFDraw:highlight	Highlight	하이라이트	高亮
PopPDFDraw:underLine	Underline	밑줄	下划线
PopPDFDraw:cancelLine	Strikethrough	취소선	删除线
PopPDFDraw:circle	Circle	원형	圆形
PopPDFDraw:rectangle	Rectangle	사각형	四边形
PopPDFDraw:arrow	Arrow	화살표	箭头
PopPDFDraw:line	Line	선	线条
			
PopHyperlink:lblEditHyperlink	Edit hyperlink	하이퍼링크 편집	编辑超链接
PopHyperlink:lblHyperlink	Add Hyperlink	하이퍼링크 추가	添加超链接
PopHyperlink:hyperlinkOk	OK	확인	确认
PopHyperlink:hyperlinkCancel	Cancel	취소	取消
PopHyperlink:textFieldPlaceholder	Title	제목	标题
			
PopCellDelete:lblTitle	Delete Cells	셀 삭제	删除单元格
PopCellDelete:lblLeft	Shift cells left	셀을 왼쪽으로 밀기	单元格左移
PopCellDelete:lblUp	Shift cells up	셀을 위로 밀기	单元格上移
PopCellDelete:lblRow	Entire row	행 전체 삭제	删除整行
PopCellDelete:lblCol	Entire column	열 전체 삭제	删除整列
			
PopCellClear:lblTitle	Clear	지우기	清除
PopCellClear:lblAll	Clear all	모두 지우기	清除全部
PopCellClear:lblText	Clear text	내용 지우기	清除内容
PopCellClear:lblForm	Clear form	서식 지우기	清除格式
			
PopFind:lblMatchCase	Match case	대소문자 구분	区分大小写
PopFind:lblWordOnly	Find whole words only	단어 단위로 찾기	全字匹配
			
PopFx:lblTitle	Functions	함수	函数
PopFx:All	View All	모두 보기	查看全部
PopFx:Recent	Recent Items	최근 항목	最近使用的函数
PopFx:Finalcial	Finance	재무	财务
PopFx:Math	Math	수학	数学
PopFx:Date/Time	Date/Time	날짜/시간	日期/时间
PopFx:Statistical	Statistics	통계	统计
PopFx:Lookup	Lookup/Reference Functions	찾기/참조 영역	查找/引用
PopFx:Database	Database	데이터베이스	数据库
PopFx:Text	Text	텍스트	文本
PopFx:Logical	Logic	논리	逻辑
PopFx:Info	Information	정보	信息
PopFx:btnBack	Back	이전	返回
PopFx:btnFx	Functions	함수	函数
PopFx:SUM	Sum	합계	求和
PopFx:AVERAGE	Average	평균	平均
PopFx:COUNT	Number Count	숫자 개수	计数
PopFx:MAX	Maximum Value	최대값	最大值
PopFx:MIN	Minimum Value	최소값	最小值
PopFx:lblSubTitleAutoFx	Automatic Calculation	자동연산	自动计算
PopFx:lblSubTitleFx	Functions	함수	函数
			
PopFxAuto:SUM	Sum	합계	求和
PopFxAuto:AVERAGE	Average	평균	平均
PopFxAuto:COUNT	Number Count	숫자 개수	计数
PopFxAuto:MAX	Maximum Value	최대값	最大值
PopFxAuto:MIN	Minimum Value	최소값	最小值
			
PopFxSub:tfSearch	Search Functions	함수 검색	搜索函数
PopFxSub:lblEmpty	No search results.	검색 결과 없음	没有搜索结果
			
PopFilter:noneValue	No available field value.	필드 값 없음	空白
			
PopCellMerge:lblTitle	Merge Cells	셀 병합	合并单元格
PopCellMerge:lblText	If you merge these cells, only the data\ni n the left column will remain.\nDo you want to continue?\n	셀을 병합하면 가장 윗 행의 왼쪽\n데이터만 남습니다.\n계속 진행하시겠습니까?\n	合并单元格时，只保留第一行左侧单元格数据。\n要继续吗？
PopCellMerge:btnNo	No	아니오	不是
PopCellMerge:btnYes	Yes	예	是
			
PopDeleteMemo:lblText	Do you want to delete this comment?	현재 보고 있는 메모를 지우시겠습니까?	你是否要删除此评论吗？
PopDeleteMemo:btnCancel	Cancel	취소	取消
PopDeleteMemo:btnConfirm	OK	확인	确认
PopDeleteMemo:btnNo	No	아니오	不是
PopDeleteMemo:btnYes	Yes	예	是
			
PopProgress:operationStr	(%d/%d)	(%d/%d)	(%d/%d)
PopProgress:overwriteStr	\nThe file already exists. Do you want to overwrite it?	\n동일한 파일이 존재합니다. 기존 파일을\n현재 파일로 덮어쓰시겠습니까?	已有相同文件！\n要用当前文件覆盖原文件吗？
PopProgress:zeroSize	The file size is 0. It cannot be uploaded.	크기가 0인 파일은 업로드할 수 없습니다.	不能上传大小为 0 的文件！
PopProgress:completed	%@ is completed.	%@ 완료	%@完成
PopProgress:btnOk	OK	확인	确认
PopProgress:btnCancel	Cancel	취소	取消
PopProgress:btnNo	No	아니오	不是
PopProgress:btnYes	Yes	예	是
PopProgress:reservationStop	Sharing will be canceled.	취소가 예약되었습니다.	已预约取消
PopProgress:sharedDocOverwrite	(*Documents are no longer shared.)	(* 공유 문서는 공유가 끊어집니다.)	(* 将断开文件共享)
PopProgress:notCancel	You can not cancel the download.	다운로드를 취소 할 수 없습니다.	不能取消下载！
			
PopPenSetting:lblTitle	Pen Settings	펜 설정	墨笔设置
PopPenSetting:lblTitle1	Settings	설정	设置
			
PopSpinKeypad:btnConfirm	OK	확인	确认
PopSpinKeypad:toastOutsideRange	Enter a value between %d-%d.	%d ~ %d 사이의 값을 입력해 주세요.	请输入 %d ~ %d 之间的值
PopSpinKeypad:toastOutsideRangeWithDot	Enter a value between %.1f-%.1f.	%.1f ~ %.1f 사이의 값을 입력해 주세요.	请输入 %.1f ~ %.1f 之间的值
			
PopUpDownload:btnUpload	Upload	업로드	上传
PopUpDownload:btnDownload	Download	다운로드	下载
			
PopPassword:lblTitle	Document Password	문서암호	文件密码
PopPassword:btnCancel	Cancel	취소	取消
PopPassword:btnConfirm	OK	확인	确认
PopPassword:lblPassword	The file is password-protected. Please enter the password to edit.	열기 암호로 보호된 파일입니다. 암호를 입력해 주세요.	该文件受密码保护，请输入密码。
PopPassword:lblPasswordDiff	The password does not match.\nPlease try again.?	비밀번호가 일치하지 않습니다.\n다시 시도해 주세요. 	密码不一致！\n请重试。
PopPassword:tfdPasswordHint	Enter Password	비밀번호 입력	输入密码
			
PopLoading:lblLoading	Loading...	로딩 중	正在加载
PopLoading:lblSaving	Saving...	저장 중	正在保存
PopLoading:lblSync	Synchronization started...	초기 동기화 중...	正在进行首次同步……
PopLoading:lblAutoSaving	Creating the auto-recovered file...	자동 복구 파일 생성 중...	正在创建自动修复文件……
PopLoading:lblWating	Please wait.	잠시만 기다려 주세요.	请稍等
PopLoading:lblAddressSync	Synchronizing the address books...	주소록 동기화 중	正在同步通讯录
PopLoading:lblFinding	Searching...	찾는 중	正在查找
PopLoading:lblReplacing	Replacing...	바꾸기 중	正在替换
PopLoading:lblDeleting	Deleting...	삭제 중...	正在删除……
PopLoading:lblUpdateInfo	Updating Info...	정보를 업데이트 중입니다.	正在上传信息
			
PopListLoading:btnCancel	Cancel	취소	取消
PopListLoading:connect	Loading...	로딩 중...	正在加载……
			
FNGuestListCell:deleteBtn	Delete	삭제	删除
			
EDocController:propertyNone	Select an object and press it again.	속성 편집을 지원하지 않는 객체입니다.	请选择文本或对象后重试
EDocController:NOT_SUPPORT_PROPERTY	This object cannot be edited	텍스트나 객체를 선택한 후에 다시 눌러 주세요.	当前对象不支持编辑属性
EDocController:lblModeEdit	Edit Mode	편집 모드	编辑模式
EDocController:lblModeView	Review Mode	검토 모드	审阅模式
EDocController:enableMultiSelect	You can select multiple objects.	다중 객체를 선택할 수 있습니다.	可选择多个对象
EDocController:disableMultiSelect	You disabled multi-selection mode.	다중 객체 선택 모드가 해제되었습니다.	已退出多重对象选择模式
EDocController:terminate	Information	안내	介绍
EDocController:INTERNAL_ERROR	Invalid file.	유효하지 않은 파일입니다.	无效的文件！
EDocController:MEMORY_ERROR	Not enough memory.	메모리가 부족합니다.	内存不足！
EDocController:UNSUPPORTED_TYPE	This file format is not supported.	지원되지 않는 파일입니다.	不支持的文件格式！
EDocController:DOC_EDIT_PROTECT	This document is protected. It will open in Read-only mode.	보호된 문서입니다. 읽기전용으로 열립니다.	已设置保护的文件，会以只读模式打开。
EDocController:UNSUPPORTED_ENCRYPTION_TYPE	This file format is not supported due to encryption.	지원되지 않는 암호화 파일입니다.	不支持的加密文件！
EDocController:DOCUMENT_TRUNCATED	Unable to open the file.	파일을 열 수 없습니다.	无法打开文件！
EDocController:DOC_WRITE_PASSWORD	This file is write-protected.\nAll editing features are disabled.	쓰기 암호로 보호된 파일입니다.	以写入密码受保护的文件
EDocController:DOC_PROTECT	Protected documents cannot\nbe edited.	보호 문서는 편집을 지원하지 않습니다.	不支持编辑被保护的文件
EDocController:DOC_PASSWORD_FILE	Password protected documents\ncannot be edited.	암호가 설정된 문서는 편집을\n 지원하지 않습니다.	不支持编辑已设置密码的文件
EDocController:DOC_PASSWORD_FILE_LINK”	“Pen annotations will not be saved in password-protected documents.	암호문서는 슬라이드 쇼의 잉크를 저장하지 않습니다.	(*)Password-protected documents cannot save the ink.
